stop_id,stop_name,stop_lat,stop_lon,location_type
1629,HAM. COMBERIGOL,45.50544627,4.553441947,0
1630,HAM. COMBERIGOL,45.50548895,4.553558852,0
1631,ECHANGEUR,45.50599385,4.566634409,0
1632,ECHANGEUR,45.50626981,4.566786338,0
1633,LA PERRONIERE,45.50423312,4.565117087,0
1634,LA PERRONIERE,45.50451936,4.565205422,0
1637,MAIRIE GD CROIX,45.50408723,4.56927085,0
2263,CH. DE GAULLE,45.50593165,4.570650893,0
2264,CH. DE GAULLE,45.50509191,4.569887398,0
2265,CH. DE GAULLE,45.50527871,4.56999734,0
1639,PARC ARAGON,45.50599233,4.579305732,0
1640,LES ROSES,45.50106328,4.573320922,0
1641,LES ROSES,45.50119689,4.57339032,0
1642,COLL. C.EXBRAYAT,45.49886209,4.572681547,0
1643,COLL. C.EXBRAYAT,45.49886209,4.572681547,0
1644,PROVENDE,45.50581482,4.583663116,0
1645,PROVENDE,45.50576831,4.584185999,0
1646,EGLANTINES,45.5074001,4.583599575,0
1647,RUE DES ROULES,45.50454788,4.584456346,0
1648,RUE DES ROULES,45.50458642,4.584329922,0
2372,SAINT COME,45.50946625,4.2384947,0
2373,SAINT COME,45.50947894,4.238277558,0
2374,CINEPOLE,45.51138296,4.263723966,0
2375,CINEPOLE,45.51318455,4.263620391,0
1649,LES PERROTINS,45.51056472,4.302451353,0
1650,LES PERROTINS,45.5106976,4.302571273,0
1651,LE SAUZET,45.51253801,4.378629588,0
1673,LE SAUZET,45.51255985,4.378911996,0
1652,MONTROND,45.51002661,4.384565343,0
1653,MONTROND,45.51009621,4.384695917,0
1654,LA GLACIERE,45.50994563,4.508540479,0
1655,SALCIGNEUX,45.50848751,4.541647291,0
1656,SALCIGNEUX,45.50824395,4.541675972,0
1658,COUTTANGE,45.51102598,4.549364826,0
1659,COUTTANGE,45.51088348,4.548834304,0
1660,LA FAVERGE,45.50888421,4.561144639,0
1661,LA FAVERGE,45.50896667,4.561071158,0
1662,JARDIERE,45.51221758,4.555992113,0
1663,JARDIERE,45.51226229,4.55600671,0
